input_size,block_size,quick_s-1,quick_s-22,quick_s-57,quick_s-101,quick_s-611
4800000,960000,11.2347,11.2877,11.1048,11.1346,11.3024
4800000,2400000,13.8279,14.7003,14.5594,14.7731,14.4674
4800000,4800000,16.4908,15.9649,15.5223,16.6508,16.5667
9600000,1,2.723,2.67813,2.66944,2.6753,2.66382
9600000,960000,21.9408,22.1464,21.4051,22.2475,20.3138
9600000,1920000,25.2816,25.5872,26.7702,24.2292,26.6771
9600000,4800000,31.3297,32.4991,33.3053,31.705,32.9108
9600000,9600000,40.3202,39.1426,42.5,38.1929,41.5012
19200000,1,5.68721,5.61755,5.60945,5.617,5.76451
19200000,1920000,53.7487,52.824,54.9896,54.8311,56.6965
19200000,3840000,66.4392,64.6443,66.0613,66.9513,62.9382
19200000,9600000,79.9561,88.1879,82.7776,82.1202,88.8648
19200000,19200000,94.8265,96.7276,97.1526,87.2434,96.254
