input_size,block_size,merge_s-1,merge_s-101,merge_s-611
38400000,1,6.16733,6.14991,6.10136
38400000,38400000,36.5249,36.0096,36.6258
76800000,1,12.8437,12.739,12.8722
76800000,76800000,84.9144,86.4984,82.2707
153600000,1,26.5388,26.6575,26.5882
153600000,153600000,188.049,185.596,187.884
